user_id,age,gender,subscription_type,avg_watch_time_minutes,sessions_per_week,device_type,country,churned
ed9ea74b-c976-4907-bb54-634abccd6f78,56,Male,Premium,34.1,2,Mobile,France,0
5e24ff1e-a133-4b76-b6bf-74eb89d0cc73,46,Male,Basic,249.6,8,Laptop,Reunion,0
8697f278-1a3c-49b6-b4bc-c2a6a92b63af,32,Female,Basic,213.5,11,Mobile,Ghana,1
46fd2b70-1016-446d-b65a-0b730c6853bf,60,Male,Free,187.1,21,Tablet,Guadeloupe,0
4a791265-74e2-45f8-8915-ec173dbc6368,25,Male,Premium,51,4,Laptop,Germany,0
fe7f7498-b798-4a3f-80db-200be6737d50,38,Female,Basic,146.2,10,Mobile,Montserrat,0
d1987974-f471-4eb1-87d7-10f87eedfee8,56,Male,Free,235.3,21,Mobile,Malaysia,0
1af95c70-a154-453a-ac1a-b3a92d2b3ad3,36,Male,Basic,94.6,20,Mobile,Australia,0
645a02d3-2916-4fb5-bf24-6437382b0486,40,Female,Free,96.9,16,Mobile,Antigua and Barbuda,0
b7c8ea47-6c55-41c6-bdff-152e6d42d31a,28,Female,Free,5.9,8,Mobile,Korea,0
58ddda80-5fe8-4305-9072-b573750e7422,28,Female,Premium,56.4,4,Laptop,Turks and Caicos Islands,1
b599d055-27fb-468d-bd1d-eb8f0ef40643,41,Other,Basic,263.2,10,Mobile,Aruba,1
9d32c380-f501-4703-a824-97acc931bb3f,53,Other,Basic,135.3,12,Laptop,Namibia,1
89439a13-05d2-4bfd-8147-d98704b76c00,57,Female,Free,295.3,14,Mobile,Cocos (Keeling) Islands,1
447191f1-2068-491b-b724-3fe603bb51bd,41,Female,Premium,121.7,16,Tablet,Sierra Leone,0
5d94115f-1f22-4f29-b21f-5fb4c6d3f0d7,20,Female,Free,216,22,Tablet,Anguilla,0
4c889f28-8587-4726-a899-a0a61d1b19fd,39,Other,Free,88.2,18,Mobile,Czech Republic,0
69afddb8-e4a0-4d67-ab95-3772b50550f9,19,Other,Premium,112.3,21,Smart TV,Estonia,0
402fae40-8e35-4b20-a61c-25ebe8820bd7,41,Male,Premium,61.3,22,Tablet,Dominican Republic,0
72a44195-fd49-4a81-9160-38ca09b90a75,61,Male,Basic,107.4,21,Laptop,Guinea-Bissau,1
e32f7c52-55a5-4ef3-9e58-0ddc9d7615f4,47,Female,Free,166.4,12,Mobile,Gambia,0
fe89622f-891b-46e4-bc9c-c8a44f64d28a,55,Other,Premium,297.6,18,Laptop,Uruguay,0
175fa9ea-2915-451d-8422-624ea7b03376,19,Other,Basic,200.9,7,Smart TV,San Marino,0
e7da6c7f-c53c-4ebb-82f2-c3d2b71be70d,38,Other,Premium,63.8,20,Mobile,Mongolia,1
7cebdae5-b18a-4ff9-80e5-948bad477b85,50,Female,Premium,18.3,24,Tablet,British Virgin Islands,0
6c775f39-3712-4e6c-a734-76962c3c16f9,29,Male,Free,42.3,23,Laptop,Nicaragua,1
22ad9cd6-8809-4e78-ba36-e403542fbc65,39,Female,Free,171,7,Tablet,Bulgaria,1
07c0ed83-5ec1-4739-a5b2-4dffb08131e9,61,Male,Basic,230.7,9,Tablet,Japan,1
c290e14e-1449-463c-aada-63e6d736586b,42,Male,Free,282.4,1,Mobile,Argentina,1
a8cc085e-378a-4620-b06b-d81a4ff9a747,44,Female,Free,9.7,6,Laptop,Pitcairn Islands,1
d5b74204-a1af-4a56-a50d-706ee9a00483,59,Male,Premium,159.2,6,Smart TV,Luxembourg,0
e02e7450-1672-4dac-b4fc-40a2535dcc67,45,Male,Basic,143.9,22,Tablet,Jersey,0
39c9d30a-0861-47cb-92fc-8d7fd586a1e3,33,Other,Premium,198.5,12,Mobile,Azerbaijan,0
ec2c9ff0-2f78-4bc3-a4df-fd369ba5da3c,32,Male,Basic,170.1,22,Mobile,Samoa,0
8908a54c-de03-47a7-8f92-7448fcd9307a,64,Female,Basic,207.7,12,Smart TV,Nigeria,1
84a18b3d-0920-4eaa-908a-d01a11bfec42,61,Female,Free,199.1,10,Mobile,Argentina,0
2b406949-a2c0-451b-8e9b-812cc7eafa57,20,Male,Free,39.5,23,Tablet,Brazil,1
a5378fa7-ba47-4085-98ef-6a3e5f274beb,54,Other,Free,240.9,6,Mobile,Turkey,0
c6e5fcfd-8992-4680-84c9-989aa104eaf0,24,Other,Free,41.4,17,Laptop,Singapore,0
0c4684aa-3350-4952-a631-38f3164e54e2,38,Male,Premium,211.1,19,Laptop,Poland,1
dae26995-1415-47ce-b03a-eb80ceee849f,26,Male,Free,127.8,18,Tablet,New Zealand,0
461c82ff-ec85-4814-81c3-d6109a1ae296,56,Female,Basic,156.6,6,Laptop,Palau,0
a854f1d4-32fa-4890-93c1-1065a109225c,35,Male,Free,271.5,24,Smart TV,South Africa,0
c3c6364e-07ed-4dd0-807e-994493683ed4,21,Other,Free,267.5,19,Mobile,Rwanda,0
56a821c9-20b5-456f-9f9e-c55addcd8171,42,Male,Basic,246.3,10,Tablet,Poland,0
1b3fd7e0-ceec-4135-ab9e-c0b755e7d611,31,Female,Free,155.5,24,Smart TV,Saint Vincent and the Grenadines,0
c7264ead-9782-4047-8c66-dcc9597b6907,26,Female,Free,222.2,8,Mobile,Philippines,0
e5f5f2de-283c-48d0-82b2-c15b71ffeb72,43,Female,Free,156.3,21,Smart TV,Kenya,1
f631a051-facf-4f23-b83e-f72755770f0b,19,Female,Free,261.5,24,Tablet,Portugal,1
26fe93e6-330f-4901-942b-3594f5646886,37,Female,Premium,123.8,6,Tablet,Algeria,0
4efcd2cd-3c15-4857-aae8-a228dc562942,45,Male,Free,291.2,21,Smart TV,Japan,0
af55a052-d6f3-4003-8b13-fe2ce516d1b8,64,Male,Free,280,7,Mobile,Australia,1
25bbb927-795e-4f9c-8a7b-e1a48ee5cb13,24,Male,Basic,223.8,24,Laptop,Sao Tome and Principe,0
b8bf2189-ff21-4a62-9f66-9e4bfd1c5c56,61,Male,Free,87.4,1,Laptop,Cameroon,0
fe2d13c0-6ab6-4621-aa4c-95a74fe389b7,25,Female,Premium,43.8,18,Smart TV,Monaco,0
950694e9-7183-4b39-8350-ed42170323b1,64,Other,Basic,257.1,24,Tablet,Spain,1
b4681830-ee07-49d4-9ac2-e65af60ba4f3,52,Male,Basic,53.8,20,Mobile,South Georgia and the South Sandwich Islands,0
e4be6015-14f3-46ba-861e-eb07c82db216,31,Other,Basic,257,12,Mobile,Malaysia,0
